Date,Location,Turbidity (FNU),Chlorophyl_ug/L,BGA (ug/L),Chlorophyl (FNU),BGA (FNU)
6/27/2017,Outflow,17.31,10.41,1.08,NA,NA
7/15/2017,Outflow,42.6,36.79,12.09,NA,NA
8/19/2017,Outflow,42.52,10.97,0.73,NA,NA
6/27/2017,Center,22.6,16.63,1.38,NA,NA
7/15/2017,Center,26.7,10.2,2.71,NA,NA
8/19/2017,Center,52.25,12.75,1.09,NA,NA
6/27/2017,R1,11.25,3.08,0.22,NA,NA
7/15/2017,R4,12.65,7.33,3.1,NA,NA
8/19/2017,R4,31.89,14.22,0.92,NA,NA
6/27/2017,Marine Edge,21.92,9.53,0.83,NA,NA
7/15/2017,Marine Edge,0,1.99,0.97,NA,NA
8/19/2017,Marine Edge,45.75,16.39,1.22,NA,NA
8/19/2017,Inlet,40.94,10.23,0.85,NA,NA
7/15/2017,R2,30.61,9.38,6.22,NA,NA
8/19/2017,R2,43.66,29.99,1.77,NA,NA
6/27/2017,R3,25.59,10.58,1.01,NA,NA
7/15/2017,R3,13,5,2,NA,NA
8/19/2017,R3,33.64,12.17,0.95,NA,NA
7/4/2018,Outflow,8.03,8.19,75.7,NA,NA
7/4/2018,Center,20.99,42.17,237.02,NA,NA
7/4/2018,R1,10.1,7.75,69.25,NA,NA
7/4/2018,R4,7.3,6.79,69.15,NA,NA
7/4/2018,Marine Edge,12.61,23.11,143.34,NA,NA
7/4/2018,Inlet,6.86,6.99,71.07,NA,NA
7/4/2018,R5,16.25,26.37,143,NA,NA
7/4/2018,R3,7.75,7.74,69.25,NA,NA
8/25/2018,Outflow,15.3,15.65,159.41,NA,NA
8/25/2018,R2,16.95,17.44,186.87,NA,NA
8/25/2018,Center,14.56,11.69,140,NA,NA
8/27/2018,Inlet,13.71,36.22,239.94,NA,NA
8/27/2018,Marine Edge,19.79,53.3,293.18,NA,NA
8/27/2018,R1,18.71,40.13,273.24,NA,NA
06/21/2021,Outflow,1570.4,NA,NA,66.58,32.98
6/22/2021,R1,2.69,NA,NA,2.21,0.38
06/22/2021,Center,2.06,NA,NA,2.5,0.5
06/22/2021,R3,-0.63,NA,NA,0.86,0.19
06/22/2021,Marine Edge,-1.53,NA,NA,0.74,0.17
06/22/2021,R2,0.62,NA,NA,2.23,0.34
06/22/2021,Inlet,1.73,NA,NA,0.82,0.21
08/21/2021,Outflow,19.9,NA,NA,9.36,1.87
08/21/2021,R1,13.13,NA,NA,7.54,1.78
08/21/2021,Center,20.24,NA,NA,7.52,1.96
08/22/2021,R3,5.89,NA,NA,3.22,1.21
08/22/2021,Marine Edge,8.89,NA,NA,5.12,1.55
08/23/2021,Inlet,5.71,NA,NA,1.6,0.82
08/23/2021,R2,6.35,NA,NA,2.56,0.94
06/19/2022,Inlet,5.05,NA,NA,0.42,0.27
06/19/2022,R2,18.98,NA,NA,3.92,0.93
06/19/2022,R3,9.85,NA,NA,1.87,0.55
06/19/2022,Marine Edge,29.47,NA,NA,2.95,1.18
06/19/2022,Outflow,22.76,NA,NA,9.02,1.65
06/19/2022,R1,21.66,NA,NA,9.95,1.69
06/19/2022,Center ,9.25,NA,NA,2.38,0.66
8/24/2022,Outflow,9.12,NA,NA,2.36,0.79
8/24/2022,R1,9.99,NA,NA,4.13,1.11
8/24/2022,Center,7.7,NA,NA,1.54,0.75
8/24/2022,R3,5.49,NA,NA,1.67,0.7
8/24/2022,Marine Edge,5.7,NA,NA,1.71,0.7
8/24/2022,Inlet,24.73,NA,NA,7.23,2.05
8/24/2022,R2,7.72,NA,NA,3.9,1
06/19/2023,R1,3.98,NA,NA,0.64,0.34
06/19/2023,Center,3.96,NA,NA,0.57,0.37
06/19/2023,R3,4.27,NA,NA,0.65,0.39
06/19/2023,Marine Edge,5.69,NA,NA,1.03,0.46
06/19/2023,R2,3.84,NA,NA,0.34,0.37
06/19/2023,Outlet,4.74,NA,NA,0.4,0.34
08/20/2023,Outlet,14.07,NA,NA,2.53,1.13
6/21/2024,R1,14.95,NA,NA,3.08,0.8
6/21/2024,Center,17.5,NA,NA,3.81,0.98
6/21/2024,R3,14.82,NA,NA,2.93,0.78
6/21/2024,R2,28.6,NA,NA,13.2,2.22
6/21/2024,Outflow,44.9,NA,NA,6.86,2.09
6/21/2024,Marine Edge,4.87,NA,NA,0.78,0.34
